Account,NumberOfTotalCharactersMean, NumberOfTotalCharactersStd, NumberOfUppercaseCharactersMean,NumberOfUppercaseCharactersStd, NumberOfLowercaseCharactersMean,NumberOfLowercaseCharactersStd, NumberOfSpecialCharactersMean, NumberOfSpecialCharactersStd, NumberOfNumbersMean, NumberOfNumbersStd, NumberOfBlanksMean, NumberOfBlanksStd, NumberOfWordsMean, NumberOfWordsStd, AverageLengthOfWordsMean,AverageLengthOfWordsStd, NumberOfPropositionsMean, NumberOfPropositionsStd, AverageLengthOfPropositionsMean,AverageLengthOfPropositionsStd, NumberOfPunctuationCharactersMean, NumberOfPunctuationCharactersStd, NumberOfLowercaseWordsMean, NumberOfLowercaseWordsStd, NumberOfUppercaseWordsMean,NumberOfUppercaseWordsStd, VocabularyRichnessMean, VocabularyRichnessStd, FleschKincaidGradeLevelMean, FleschKincaidGradeLevelStd, FleschReadingEaseMean,FleschReadingEaseStd, DaleChallReadabilityMean, DaleChallReadabilityStd, AutomatedReadabilityIndexMean, AutomatedReadabilityIndexStd, ColemanLiauIndexMean, ColemanLiauIndexStd, GunningFogMean, GunningFogStd,SMOG(SimpleMeasureOfGobbledygook)Mean,SMOG(SimpleMeasureOfGobbledygook)Std,LinsearWriteMean,LinsearWriteStd,Class
0,32,0,14,0,11,0,2,0,1,0,4,0,5,0,6.33,0,1,0,5,0,0,0,1,0,3,0,1,0,5.2,0,66.4,0,10.2,0,7.4,0,9.6,0,10,0,0,0,2.5,0,0
1,117,0,0,0,94,0,10,0,0,0,13,0,14,0,8.78,0,4,0,3.75,0,8,0,13,0,0,0,1,0,16.6,0,-0.95,0,12.78,0,22.8,0,23.77,0,20.58,0,0,0,13,0,1
2,85,0,0,0,69,0,7,0,0,0,9,0,10,0,8.12,0,4,0,2.75,0,6,0,10,0,0,0,1,0,9.8,0,33.07,0,14.39,0,20.6,0,22.17,0,15.13,0,0,0,3,0,1
3,88,0,0,0,73,0,5,0,0,0,10,0,11,0,8.86,0,4,0,3,0,4,0,10,0,0,0,1,0,11.9,0,27.49,0,13.61,0,20.3,0,23.58,0,12,0,0,0,6.5,0,1
4,102,0,0,0,82,0,9,0,0,0,11,0,12,0,8.1,0,5,0,2.6,0,8,0,11,0,0,0,1,0,16.1,0,-10.26,0,13.96,0,20.3,0,22.08,0,13.11,0,0,0,4,0,1
5,92,0,0,0,74,0,7,0,0,0,11,0,12,0,7.2,0,4,0,3.25,0,6,0,11,0,0,0,0.9,0,13.5,0,18.01,0,15.67,0,18.7,0,20.57,0,11.67,0,0,0,7,0,1
6,101,0,0,0,81,0,7,0,0,0,13,0,14,0,7,0,5,0,3,0,6,0,13,0,0,0,0.91,0,8.2,0,47.96,0,13.68,0,13.7,0,15.89,0,5.68,0,0,0,3,0,1
7,100,0,0,0,76,0,13,0,0,0,11,0,12,0,7.3,0,5,0,2.6,0,11,0,12,0,0,0,1,0,11.1,0,34.93,0,12.79,0,22.2,0,21.61,0,15.31,0,0,0,9,0,1
8,81,0,0,0,63,0,7,0,0,0,11,0,12,0,6.1,0,5,0,2.6,0,6,0,11,0,0,0,1,0,4.3,0,74.35,0,13.96,0,11.3,0,12.11,0,5.84,0,0,0,3,0,1
9,76,0,0,0,52,0,13,0,2,0,9,0,10,0,6.78,0,4,0,2.75,0,7,0,7,0,0,0,1,0,9.2,0,45.42,0,18.12,0,18.1,0,18.3,0,12.49,0,0,0,6,0,1
10,116.5,26.5,9,9,85.5,10.5,6,1,0,0,16,6,17,6,7.34,1.41,3,1,7.25,4.25,3.5,0.5,10.5,0.5,1,1,1,0,10.65,5.25,33.485,43.235,13.11,3.41,13.95,4.85,16.04,5.74,13.04,4.96,0,0,4.75,1,1
11,81,0,0,0,60,0,8,0,2,0,11,0,12,0,5.91,0,4,0,3.25,0,7,0,10,0,0,0,1,0,5.4,0,65.89,0,19.7,0,11.3,0,11.58,0,5.84,0,0,0,2.5,0,1
12,102,0,0,0,84,0,7,0,0,0,11,0,12,0,8.3,0,4,0,3.25,0,6,0,11,0,0,0,1,0,14.9,0,-1.8,0,13.96,0,20.3,0,23.18,0,16.75,0,0,0,4.5,0,1
13,88.66666667,40.53256578,8,5.715476066,59,30.73543015,6.333333333,3.299831646,0.666666667,0.942809042,14.66666667,7.40870359,15.33333333,7.717224602,5.366666667,1.622186453,2.666666667,1.247219129,6.64,2.412647232,4.333333333,2.357022604,11.33333333,6.12825877,2.333333333,1.699673171,0.92,0.058878406,7,6.445153218,58.32,48.59622208,14.46,3.215555939,6.333333333,7.252279335,7.486666667,7.919664695,8.323333333,6.004700011,2.133333333,3.016988933,3.723333333,0.207578633,1
14,73.5,37.05738793,2.75,3.269174208,45.25,40.24534135,17.5,19.93113143,1,1.732050808,7,6.745368782,8,6.745368782,3.665,3.765159359,3.25,1.479019946,2.73,1.930012953,16.25,20.69269195,6.25,5.804093383,0.25,0.433012702,0.75,0.433012702,6.8,14.69132397,52.86,103.6386147,23.9175,25.62067756,29.85,34.29741244,20.1375,27.19122135,6.045,8.379980609,0,0,2.0625,1.873958044,1
15,79,51.15336418,0.666666667,0.942809042,26.66666667,30.26916289,47.33333333,52.85409687,0,0,4.333333333,2.867441756,5,3.265986324,5.126666667,3.753055052,4.666666667,1.699673171,1.596666667,0.649632375,46.66666667,52.63923336,3,3.559026084,0.333333333,0.471404521,0.666666667,0.471404521,-0.2,13.9907112,101.9333333,94.00989109,13.77666667,9.785555114,108.2666667,134.2715242,7.233333333,18.86947152,8,10.75298408,0,0,2.833333333,3.399346342,1
16,85.66666667,21.01322335,7.166666667,4.099457959,60.33333333,14.36043949,6.833333333,2.19215774,0.333333333,0.745355992,11,3.651483717,12,3.651483717,7.036666667,0.903357933,1.5,1.118033989,10.79166667,5.046485301,4.333333333,1.885618083,9.333333333,3.496029494,0.333333333,0.745355992,1,0,6.916666667,2.969521099,58.47833333,22.8282759,14.63833333,2.901174571,12.83333333,4.368320298,14.215,4.34464709,7.696666667,3.286313368,0,0,3.666666667,0.931694991,1
17,107,29,5.5,5.5,78,18,6,1,0.5,0.5,17,6,18,6,6.09,0.47,2.5,1.5,13.625,10.375,5.5,0.5,11,1,0.5,0.5,0.905,0.015,9.55,0.75,52.53,11.51,11.855,3.085,12.7,0.1,11.1,1.98,12.635,1.365,0,0,9.25,5.75,1
