Account,Class, ColemanLiauIndexStd,NumberOfTotalCharactersMean, DaleChallReadabilityMean, VocabularyRichnessStd, FleschKincaidGradeLevelMean,FleschReadingEaseStd,LinsearWriteMean, NumberOfTotalCharactersStd, GunningFogStd, NumberOfPunctuationCharactersStd,NumberOfLowercaseCharactersStd, DaleChallReadabilityStd, NumberOfLowercaseWordsMean, AverageLengthOfPropositionsMean, NumberOfPunctuationCharactersMean,NumberOfUpperCharactersStd, NumberOfSpecialCharactersStd,AverageLengthOfWordsStd, AutomatedReadabilityIndexStd, NumberOfPropositionsStd, NumberOfLowercaseCharactersMean,AverageLengthOfPropositionsStd, NumberOfUpperCharactersMean, NumberOfPropositionsMean, NumberOfUppercaseWordsMean
0,0,0.0,32.0,10.2,0.0,5.2,0.0,2.5,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,14.0,1.0,3.0
1,1,0.0,117.0,12.78,0.0,16.6,0.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,3.75,8.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,4.0,0.0
2,1,0.0,85.0,14.39,0.0,9.8,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,2.75,6.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,4.0,0.0
3,1,0.0,88.0,13.61,0.0,11.9,0.0,6.5,0.0,0.0,0.0,0.0,0.0,10.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,4.0,0.0
4,1,0.0,102.0,13.96,0.0,16.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,2.6,8.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,5.0,0.0
5,1,0.0,92.0,15.67,0.0,13.5,0.0,7.0,0.0,0.0,0.0,0.0,0.0,11.0,3.25,6.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,4.0,0.0
6,1,0.0,101.0,13.68,0.0,8.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,5.0,0.0
7,1,0.0,100.0,12.79,0.0,11.1,0.0,9.0,0.0,0.0,0.0,0.0,0.0,12.0,2.6,11.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,5.0,0.0
8,1,0.0,81.0,13.96,0.0,4.3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,2.6,6.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,5.0,0.0
9,1,0.0,76.0,18.12,0.0,9.2,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,2.75,7.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,4.0,0.0
10,1,5.74,116.5,13.11,0.0,10.65,43.235,4.75,26.5,4.96,0.5,10.5,3.41,10.5,7.25,3.5,9.0,1.0,1.41,4.85,1.0,85.5,4.25,9.0,3.0,1.0
11,1,0.0,81.0,19.7,0.0,5.4,0.0,2.5,0.0,0.0,0.0,0.0,0.0,10.0,3.25,7.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,4.0,0.0
12,1,0.0,102.0,13.96,0.0,14.9,0.0,4.5,0.0,0.0,0.0,0.0,0.0,11.0,3.25,6.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,4.0,0.0
13,1,7.919664695,88.66666667,14.46,0.058878406,7.0,48.59622208,3.723333333,40.53256578,6.004700011,2.357022604,30.73543015,3.215555939,11.33333333,6.64,4.333333333,5.715476066,3.299831646,1.622186453,7.252279335,1.247219129,59.0,2.412647232,8.0,2.666666667,2.333333333
14,1,27.19122135,73.5,23.9175,0.433012702,6.8,103.6386147,2.0625,37.05738793,8.379980609,20.69269195,40.24534135,25.62067756,6.25,2.73,16.25,3.269174208,19.93113143,3.765159359,34.29741244,1.479019946,45.25,1.930012953,2.75,3.25,0.25
15,1,18.86947152,79.0,13.77666667,0.471404521,-0.2,94.00989109,2.833333333,51.15336418,10.75298408,52.63923336,30.26916289,9.785555114,3.0,1.596666667,46.66666667,0.942809042,52.85409687,3.753055052,134.2715242,1.699673171,26.66666667,0.649632375,0.666666667,4.666666667,0.333333333
16,1,4.34464709,85.66666667,14.63833333,0.0,6.916666667,22.8282759,3.666666667,21.01322335,3.286313368,1.885618083,14.36043949,2.901174571,9.333333333,10.79166667,4.333333333,4.099457959,2.19215774,0.903357933,4.368320298,1.118033989,60.33333333,5.046485301,7.166666667,1.5,0.333333333
17,1,1.98,107.0,11.855,0.015,9.55,11.51,9.25,29.0,1.365,0.5,18.0,3.085,11.0,13.625,5.5,5.5,1.0,0.47,0.1,1.5,78.0,10.375,5.5,2.5,0.5
