Tweet,total_characters,count_sentences,avg_words_length,count_words,count_unique_words,num_uppercase_chars,num_lowercase_chars,num_uppercase_words,num_lowercase_words,count_punctuations,count_blanks,count_numbers,count_special_characters,coleman_liau_index,gunning_fog,ari,dale_chall_readability,smog_index,linsear_write,flesch_kincaid_grade_level,flesch_reading_ease,Class
RT @RepJimWard: After revenue estimates FY15 still need $40 million to get to flat broke. In FY16 we need another $550 million to get to fl,139,1,4.384615385,26,20,11,89,3,18,5,25,9,5,14.49692308,19.63076923,9.888076923,1.2896,11.20814326,0.846153846,5,102.3526923,1
Congrats @jefflongwellict on winning the mayoral race.  I appreciated you stayed positive throughout the campaign.,114,2,6.6,15,14,2,94,1,13,3,15,0,3,24.94133333,24.33333333,16.86,0.744,11.20814326,1.733333333,7,58.2225,1
@JulieMM @kansasdotcom those were taken off two days ago and not via the wind last night.,89,1,4.625,16,16,3,68,0,15,3,15,0,3,15.0575,11.4,12.475,0.7936,8.841846275,0.875,6,79.5575,1
RT @myregularface: GIF here's where Ferkland* got hurt (I know it's Ferland) http://t.co/TwqtT5TX77,99,1,6.692307692,13,13,12,60,3,12,12,12,3,12,26.70153846,8.276923077,15.04,0.6448,8.841846275,0.230769231,6,76.50153846,1
When you've been awake since 3:30am...body starts to shut off at 9. Hope to wake up to a miracle #LetsGoFlames,110,4,4.55,20,18,5,75,0,18,7,19,4,7,10.62,12,5.62,0.992,13.0238668,0.9,3,83.32,1
this game just stinks! ,23,1,4.75,4,4,0,18,0,4,1,4,0,1,10.61,1.6,6.475,0.1984,3.1291,0,-2,118.175,1
"RT @myregularface: GIF: Ferland took a beating in the first, actually http://t.co/XAaGbeaJMe",92,1,6.75,12,12,11,61,2,11,9,11,0,9,26.81333333,18.13333333,14.79,0.5952,11.20814326,1.166666667,6,74.805,1
Hahaha Sophie (Jennifer Coolidge) is Brittany's mom on Glee!,60,1,5.777777778,9,9,6,42,0,4,4,8,0,4,20.11111111,25.82222222,14.47,0.4464,13.0238668,1.777777778,9,47.3,1
@reynagienica Aw. Best part au to! Na-memorize jud niya ila first interaction. &lt;3,84,3,5.538461538,13,13,3,61,0,11,7,12,1,7,15.36307692,14.04102564,9.721282051,0.6448,13.0238668,1.461538462,5,65.77512821,1
"@evinalupango @reynagienica Lagi! In fairness, gwapo kaayo cya samot na tungod sa facial hair.",94,2,5.785714286,14,14,2,74,0,12,5,13,0,5,19.45142857,17.08571429,16.85785714,0.6944,11.20814326,1.285714286,12,24.48714286,1
"@reynagienica Asa? Daghan man nindot nga lines. Hehe. And nice ang movie overall, I thought wai ayo.",100,4,4.941176471,17,17,5,73,1,12,6,16,0,6,11.82352941,11.11176471,7.723921569,0.8432,8.841846275,0.882352941,3,83.08595588,1
RT @expressupdates: Philippines utility company pleads: Fridges off for Pacquiao fight http://t.co/x1nIzGjcLx via @YahooNews,124,1,7.928571429,14,14,10,91,1,11,9,13,1,9,34.16571429,22.74285714,20.942,0.6944,15.90318901,1.5,13,29.46785714,1
@kay_keisa I wonder if It's How she name??,42,2,4.375,8,8,3,27,1,6,5,7,0,5,7.67,6.6,7.2975,0.3968,8.841846275,0.375,-2,118.175,1
Looking all serious ready for study http://t.co/EjAUCYnXGN,58,1,7.428571429,7,7,9,38,0,8,5,6,0,5,28.69142857,25.65714286,14.12875,0.3472,8.841846275,1.285714286,4,78.87285714,1
well http://t.co/hlvmyI6IVr,27,1,13,2,2,3,17,0,4,5,1,1,5,48.78,20.8,20.14,0.0992,3.1291,0,3,77.905,1
@machinesports @kevinbrolan need a bowtie guy?,46,1,6.833333333,6,6,0,38,0,6,3,5,0,3,24.34666667,22.4,17.68,0.2976,11.20814326,2,10,31.545,1
@kevinbrolan is this the type of high-brow content we can expect from post-mavs season kevin?,93,1,5.266666667,15,15,0,75,0,17,4,14,0,4,18.68266667,11.33333333,15.272,0.744,8.841846275,0.6,6,78.81,1
Morning world..,15,2,7,2,2,1,11,0,1,2,1,0,2,-1.3,0.4,10.185,0.0992,3.1291,0,-3,121.22,1
"RT @LifeQuotesDen: You teach people how to treat you by what you allow, what you stop and what you reinforce. -Tony Gaskins",123,1,4.636363636,22,17,8,89,1,17,5,21,0,5,15.72909091,23.34545455,9.975,1.0912,11.20814326,1.181818182,12,49.91409091,1
RT @Bible_Time: Let go of the disappointments and setbacks in your life and hang on to the promises of God for your future.,123,1,4.391304348,23,19,6,91,1,19,4,22,0,4,14.35826087,19.63478261,15.05347826,1.1408,13.0238668,1.130434783,8,76.82043478,1
@eschaton @jhamby or at least R80 insulation for any remodel permit.,68,1,5.272727273,11,11,1,52,1,10,3,10,2,3,17.85818182,15.30909091,12.75818182,0.5456,8.841846275,1.090909091,5,80.30636364,1
This ad showed up on my facebook feed. http://t.co/pdQarkkqLP,61,2,5.888888889,9,9,4,43,0,10,6,8,0,6,17.47555556,6.244444444,7.554666667,0.4464,8.841846275,0.333333333,3,80.0675,1
AronRa: Flintstones Archaeology - YouTube http://t.co/bFIIHYwgGq // Ever wonder about the origin of Unicorns and dragons? Here's the answer!,140,3,6.421052632,19,18,15,95,0,13,12,18,0,12,22.85263158,19.3754386,16.3045,0.9424,13.0238668,1,4,75.73298246,1
We Are Witnessing A Fundamental Change In The Oil Sector http://t.co/IBXOFz6Ho3 // Wherein geology guides the invisible hand.,125,2,6,18,18,17,81,1,8,8,17,2,8,21.74444444,19.15555556,13.81105263,0.8928,11.20814326,1.055555556,0,108.4,1
The coffee machine at school glitched and literally just payed me to have a cup of coffee. I think my life just peaked. #happytears,131,2,4.5,24,23,2,103,1,22,3,23,0,3,13.82833333,16.46666667,7.49375,1.1904,11.20814326,1,4,88.905,1
@bellalahlah Yeah I have about 5 of those due in a few weeks... in Spanish. Trade?,82,5,4.1875,16,15,4,56,1,11,6,15,1,6,5.085,8.78,3.609166667,0.7936,8.841846275,0.75,-2,113.6995,1
Scottish is easily the most difficult accent to understand. Befriended a Scottish couple in Bara and I thought they were speaking German.,137,2,5.272727273,22,21,6,108,1,16,2,21,0,2,18.12545455,15.30909091,12.75818182,1.0912,8.841846275,1.045454545,5,80.30636364,1
When people think about avocados I also want them to think about me. This will be my legacy.,92,2,4.166666667,18,16,3,70,1,15,2,17,0,2,10.96444444,14.71111111,6.358333333,0.8928,11.20814326,0.888888889,4,80.2,1
RT @muniba_mazari: @maureenck #stacey #best #sisters #ever! #lovethem! ,71,2,7.875,8,8,2,50,1,7,11,8,0,11,28.985,21.6,23.7825,0.3968,11.20814326,1.5,11,23,1
RT @trxpful: Current mood http://t.co/QfPk7Yw4tn,48,1,8.8,5,5,6,29,1,5,7,4,2,7,34.728,2,16.965,0.248,3.1291,0,-2,117.16,1
"RT @muniba_mazari: #Repost @maureenck with repostapp.With Birthday boy, ahsanausaf, we had a surprise brunch for https://t.co/ITdzRxe",133,2,7.375,16,16,8,97,1,15,13,15,0,13,29.3775,20.7,15.84833333,0.7936,13.0238668,1.375,7,55.9525,1
Solid week of meetings in #SiliconValley for getklear - decompressing while contemplating world https://t.co/cTYcguUVQ8,119,1,7.571428571,14,14,8,90,0,13,7,13,1,7,32.06571429,22.74285714,19.372,0.6944,13.0238668,1.214285714,10,47.59642857,1
#getKlear @getKlear This is so true -- #Millenials don't like #Banks https://t.co/oio5gdn7vb,92,1,6.75,12,12,5,62,0,10,12,11,2,12,26.81333333,18.13333333,14.79,0.5952,11.20814326,1.083333333,5,81.855,1
The choice is KLEAR with Klear Technologies. getklear - FinTech StartUp currently raising Series A https://t.co/F0IQKykOcI,122,2,6.6875,16,16,20,79,2,9,7,15,1,7,25.335,20.7,14.37333333,0.7936,8.841846275,1.25,2,92.965,1
Now supporting #ApplePay is the #Discover Network #Payments #getKlear https://t.co/4dPMHlGgtr,93,1,8.4,10,10,11,63,0,6,9,9,1,9,35.924,24,20.71272727,0.496,3.1291,1.7,6,69.785,1
@BestBuy is now Accepting #ApplePay #NFC #GetKlear #Payments  https://t.co/lwHXNMzCvG,85,1,8.444444444,9,9,17,49,1,5,10,9,0,10,36.44444444,25.82222222,20.634,0.4464,3.1291,1.444444444,4,84.9,1
Tengan pinches Morenos como yo! https://t.co/CubexhzcdY,55,2,8.333333333,6,6,4,40,0,6,6,5,0,6,28.23333333,14.53333333,16.65428571,0.2976,11.20814326,1.5,11,20.49,1
"Con esas faltas de ortografa quieren ser pescadores en Alaska. \
No mamen, neta.",80,2,4.785714286,14,14,3,60,0,10,4,12,0,4,13.57142857,14.22857143,7.975,0.6944,13.0238668,0.642857143,7,54.70142857,1
"I never imagined that all the after high school job I had to do at my mom's shop, was gonna help me in the future. \
Welcome back to retail.",140,2,3.7,30,27,3,103,2,27,5,28,0,5,9.666666667,11.33333333,7.579,1.488,11.20814326,0.6,2,107.01,1
"If I get a new dog, I will call him Bear 16.",44,1,2.75,12,11,4,25,2,7,2,11,2,2,3.293333333,4.8,1.4475,0.5952,3.1291,0,-3,138.255,1
@JennJacques While my @Cubs continue to make me SMILE!,54,1,5.111111111,9,9,9,34,1,5,3,8,0,3,16.19111111,12.48888889,11.33,0.4464,8.841846275,0.777777778,2,94.3,1
If the police did kill #FreddieGray I hope they rot in prison.,62,1,4.25,12,12,4,45,1,9,2,11,0,2,12.11333333,11.46666667,8.5125,0.5952,8.841846275,0.666666667,0,117.105,1
"Yup RT @benshapiro: Those are some pretty heavy charges. If justified, give the officers the full penalty. Now let's see the evidence.",134,3,5.136363636,22,20,6,100,1,18,7,21,0,7,15.97818182,13.84242424,9.854393939,1.0912,15.90318901,1.227272727,2,91.71893939,1
HA! cc @JennJacques MT @Cubs: #Cubs went 7-3 against the #Brewers at Wrigley Field last season. #LetsGo,103,2,5.117647059,17,17,13,63,2,7,9,16,2,9,16.34352941,12.81176471,10.80294118,0.8432,8.841846275,0.764705882,1,103.6545588,1
RT @BenSavage: Family reunion http://t.co/uwrXGL8yzb,52,1,9.6,5,5,8,32,1,4,7,4,1,7,39.432,34,20.105,0.248,11.20814326,2.4,8,49.48,1
@ceciliamchelle LOL!,20,1,9.5,2,2,3,14,1,1,2,1,0,2,28.2,20.8,26.67,0.0992,8.841846275,1.5,15,-6.695,1
RT @americanidiotLA: The talented cast of AMERICAN IDIOT Los Angeles! Opening May 15 in a DTLA warehouse. #americanidiotLA #greenday http:/,139,2,6,20,20,28,82,4,8,8,19,2,8,22.106,22,15.8335,0.992,14.55459255,1,5,74.015,1
RT @natalieben: @JaggedReplicant @timelordchris if you want a new kind of politics you have to vote for it. Otherwise we'll have business-a,139,1,5.363636364,22,20,5,106,1,21,7,21,0,7,20.00545455,23.34545455,13.40045455,1.0912,15.90318901,1.227272727,13,42.22318182,1
Eaten an avocado pretty much for every substantial meal whilst I've been here. Is there ever such a think as too much avocado? #no,130,2,4.458333333,24,23,3,100,1,22,4,23,0,4,13.58333333,13.13333333,9.69,1.1904,13.0238668,0.666666667,4,88.905,1
"@AngelaDavisNZ @TEDxWellyWomen @EventfindaNZ yay, and we cant wait to see you there!!",85,2,6.166666667,12,12,12,56,0,9,6,11,0,6,20.91666667,19.06666667,17.9325,0.5952,13.0238668,1.666666667,7,52.695,1
Thanks everybody that helped promote @TEDxWellyWomen ticket sales today! We sold almost 60% of our tickets in day 1! Whoop whoop #Rhythm,136,2,5.227272727,22,22,9,98,0,15,5,21,3,5,17.85818182,11.67272727,18.68636364,1.0912,11.20814326,0.954545455,5,76.46090909,1
My brain is sleeping on my coach face down while my body is still in front of my desk at work MILES away from my brain! #TGIF,125,1,3.666666667,27,23,10,87,2,24,2,26,0,2,10.32592593,13.76296296,13.87555556,1.3392,3.1291,0.37037037,7,94.83,1
@lightyouonfire @meganjwhelan @Da_Waa @Bodeliasays @bonhowland @producer_zoe @ICaitlinCherry @MavaMoayyed @TEDxWellyWomen - YAY!,128,1,10.72727273,11,11,16,89,1,4,13,10,0,13,49.93090909,40.76363636,38.87727273,0.5456,19.28718652,2.454545455,24,-58.13,1
RT @nicoladoeswork: What's that? You love learning new things and meeting other awesome humans? @TEDxWellyWomen. 30 May. #jussayin,130,4,6.277777778,18,18,10,92,1,13,9,17,2,9,20.08888889,17.35555556,14.54,0.8928,14.55459255,1.444444444,5,70.6675,1
RT @DanielDelloRey: i wouldn't mind if they all died :) http://t.co/4quu4GC0on,78,1,6.181818182,11,11,7,48,1,11,10,10,3,10,23.20363636,11.67272727,11.7925,0.5456,11.20814326,0.545454545,5,80.30636364,1
James Bay - Let It Go https://t.co/K3mHH0wp5d,45,1,5.571428571,7,7,8,22,0,3,6,6,3,6,17.77142857,2.8,6.475,0.3472,3.1291,0.428571429,-3,127.2157143,1
https://t.co/7c7JCJcywf,23,1,23,1,1,3,13,0,3,5,0,2,5,89.84,0.4,30.88,0.0496,3.1291,0,8,36.62,1
Tori Kelly - Unbreakable Smile (Official) https://t.co/F3Z5baLl4U,65,1,8.428571429,7,7,9,39,0,3,8,6,3,8,34.57142857,19.94285714,18.25,0.3472,8.841846275,0.857142857,7,54.70142857,1
Happy 4 months to meeee! #CaireeWilson https://t.co/NQ78z8vIp5,62,2,8,7,7,6,38,0,6,7,6,5,7,27.82285714,12.82857143,16.48375,0.3472,8.841846275,1,4,70.33964286,1
Fam(ily) . #love,16,1,4.666666667,3,3,1,9,0,2,4,2,0,4,5.693333333,14.53333333,9.685,0.1488,8.841846275,1,1,90.99,1
Surround yourself with Good people. Learn &amp; Grow.,53,2,5.75,8,8,4,38,0,4,4,7,0,4,15.755,16.6,10.0075,0.3968,8.841846275,1.25,4,75.875,1
RT @elconfidencial: Tesla ha presentado su nueva batera: costar 3.500 dlares y llegar a las casas en verano http://t.co/eOm58BddyH http,135,2,5.8,20,20,6,95,1,19,9,19,6,9,20.93,16,10.71075758,0.992,15.90318901,0.9,9,48.635,1
"RT @Contador_Info: 8 das para el Giro d'Italia!\
#FlightForPink http://t.co/Gtlt4t11hw",86,2,7.7,10,10,10,51,1,7,12,8,4,12,28.848,14,17.71545455,0.496,11.20814326,0.9,5,66.4,1
RT @amarco13: Indra ultima la primera reordenacin directiva de la era Abril Martorell http://t.co/5iQyR1OyrD Empieza el desfile y los cao,137,1,5.9,20,19,10,97,1,17,7,19,4,7,22.998,26,14.32285714,0.992,18.24360595,1.65,14,30.025,1
RT @dineshakula: Damaged houses are seen from an Indian Army helicopter in the Nepalese area of Gorkha. #NepalEarthquake http://t.co/GReP8y,139,2,6.368421053,19,19,12,99,1,14,9,18,1,9,24.10105263,22.74736842,13.93133333,0.9424,17.1224134,1.578947368,9,45.80302632,1
@caseeeyfitz Like I would ever forget you!,42,1,5.142857143,7,7,2,32,1,5,2,6,0,2,15.25142857,14.22857143,10.33,0.3472,8.841846275,0.857142857,6,66.78714286,1
Made it onto @jimmykimmel #FingerOfShame http://t.co/hEoEDq0eNd,63,1,9.666666667,6,6,8,42,0,6,7,5,1,7,41.00666667,22.4,22.03714286,0.2976,13.0238668,1.666666667,14,3.345,1
@jimmykimmel He pooped right AFTER I changed him! #FingerOfShame http://t.co/ONYMicr6o1,87,2,7.8,10,10,14,54,2,8,8,9,2,8,29.436,18,18.14363636,0.496,13.0238668,1.2,5,66.4,1
Finally got to meet my beautiful friend @KristenMEast http://t.co/h9HRFHOxfv,76,1,7.555555556,9,9,9,52,0,9,6,8,1,6,30.56444444,16.93333333,16.395,0.4464,11.20814326,1.111111111,6,66.1,1
#BruceJenner was an Olympic hero.. now he's a hero for another reason. Respect to someone being real. Life is a journey that can change.,136,5,4.708333333,24,23,5,101,0,21,7,23,0,7,11.35333333,11.92,6.69,1.1904,8.841846275,0.75,2,89.163,1
What a nice night for a cigar and drinks @MortsMartiniBar.,58,1,4.9,10,9,4,43,0,8,2,9,0,2,15.344,8,10.417,0.496,8.841846275,0.4,5,78.245,1
@jmals24 @madeleinestroth I haven't had a full beard since 2013. That thing was gnarly. Shocked I intv'd Commish Lewis with that thing.,135,3,5.181818182,22,21,6,95,2,17,7,21,6,7,16.24545455,4.751515152,10.06848485,1.0912,8.841846275,0.227272727,1,99.40984848,1
"@madeleinestroth thats me with anti KU fans. And no, hate isn't a strong word when discussing sports.",101,2,5,17,17,3,77,1,16,5,16,0,5,15.65176471,8.105882353,9.971764706,0.8432,8.841846275,0.411764706,0,113.6075,1
